"filename", "language", "Go", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_no_axis_pts_z.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fnc_values.go", "Go", 69, 0, 0, 0, 0, 0, 0, 17, 5, 91
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\format.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\formula.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\formula_inv.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\frame.go", "Go", 72, 0, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\frame_measurement.go", "Go", 34, 0, 0, 0, 0, 0, 0, 3, 5, 42
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\function.go", "Go", 124, 0, 0, 0, 0, 0, 0, 0, 5, 129
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\function_list.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\function_version.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\group.go", "Go", 101, 0, 0, 0, 0, 0, 0, 0, 5, 106
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\guard_rails.go", "Go", 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\header.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\identification.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\if_data.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\in_measurement.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\instance.go", "Go", 153, 0, 0, 0, 0, 0, 0, 0, 5, 158
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\layout.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\left_shift.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\limits.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\loc_measurement.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\map_list.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\matrix_dim.go", "Go", 62, 0, 0, 0, 0, 0, 0, 8, 5, 75
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\max_grad.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\max_refresh.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\measurement.go", "Go", 286, 0, 0, 0, 0, 0, 0, 0, 5, 291
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\memory_layout.go", "Go", 74, 0, 0, 0, 0, 0, 0, 0, 5, 79
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\memory_segment.go", "Go", 98, 0, 0, 0, 0, 0, 0, 0, 5, 103
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\mod_common.go", "Go", 115, 0, 0, 0, 0, 0, 0, 0, 5, 120
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\mod_par.go", "Go", 174, 0, 0, 0, 0, 0, 0, 0, 5, 179
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\model_link.go", "Go", 26, 0, 0, 0, 0, 0, 0, 14, 5, 45
